"Temperature (K)";"Luminosity(L/Lo)";"Radius(R/Ro)";"Absolute magnitude(Mv)";"Star type";"prediction(Star type)"
-0.7777566922635281;-0.5973751221265872;-0.458252229107218;1.114416368662506;-1.4607972383012542;-1.0891469429006464
-0.8959465755243323;-0.5973751347330168;-0.45838178388498774;1.488496157875333;-1.4607972383012542;-1.4224866533137472
-0.801624976925586;-0.5973751318795721;-0.4583682483111909;1.1960683023485545;-1.4607972383012542;-1.1618523463539598
-0.7220640280520596;-0.59737511934002;-0.4575947869513715;0.598869857133152;-0.8764783429807526;-0.6332736942191316
-0.7713708792618371;-0.5973750675098709;-0.45785370314157103;0.7033083769641444;-0.8764783429807526;-0.7269099377788489
-0.7492822474035292;-0.5973751143241991;-0.4581168733692496;0.8248368364038449;-0.8764783429807526;-0.8332073508120298
-0.7124329658200012;-0.5973751150487066;-0.45767213308735344;0.6093137091162513;-0.8764783429807526;-0.6421566478156707
-0.28866622760942917;-0.5973751327712736;-0.4585570889021908;0.9150337398942474;-0.29215944766025087;-0.8972783361746539
-0.34310266631236824;-0.5973751345546766;-0.4585596799977462;0.9349720027710733;-0.29215944766025087;-0.9166539350037819
-0.2091052787359028;-0.5973751327155423;-0.4585616136511458;0.9606069121841351;-0.29215944766025087;-0.9347457196477296
0.6283783936170063;-0.5973750630513635;-0.4585538790375475;0.7128027878578711;-0.29215944766025087;-0.6885579969779467
-0.29285364597119373;-0.5973751348890647;-0.458556199421627;0.957758588916017;-0.29215944766025087;-0.935036964771878
0.13530988151923107;-0.5973751346661392;-0.4585596799977462;0.7792636641139572;-0.29215944766025087;-0.7635606070114159
2.983801222109563;0.5395442630595666;-0.4380842241499275;-0.8623199794113697;0.29215944766025087;0.7795092721964939
-0.5140540209314058;-0.5973705711051123;-0.45666663331958823;0.061486200548227184;0.29215944766025087;-0.15304860171055057
-0.6984051143080899;0.517251725832867;-0.42184153559372034;-1.0740453423414726;0.8764783429807526;0.844770560601704
-0.7840378198061749;0.9631024703668576;-0.41023961519642954;-0.9857473210298153;0.8764783429807526;0.7655481184665863
-0.7194468915759568;0.4280815769260689;-0.2961540646230699;-1.0560059616433923;0.8764783429807526;0.8431961128412211
2.4342025621279664;0.6287144119663647;-0.40830596179688106;-0.995241731923542;0.8764783429807526;0.8817284267711198
-0.7063612091954425;0.9798218732868823;1.9778223332459288;-1.1405062185975587;1.4607972383012542;1.1896453966389373
-0.7064658946544867;2.4678487331690757;2.7280798522707346;-1.1803827443512105;1.4607972383012542;1.314365646139793
-0.7377668469086767;0.8683591871533846;2.1499174858057426;-1.531675947419094;1.4607972383012542;1.5535715143766369
-0.7061518382773544;0.567409934592941;1.388058046383646;-1.4832544518610886;1.4607972383012542;1.4209951769692681
-0.7396511851714707;-0.5973751317681095;-0.45821355603922703;1.1922705379910639;-1.4607972383012542;-1.1564181230668111
-0.7691724846219108;-0.5973750864585275;-0.4579041714952993;0.7175499933047342;-0.8764783429807526;-0.7393820523795446
-0.7272983010042653;-0.5973751132095723;-0.4580182570458726;0.6178586789206052;-0.8764783429807526;-0.6502187046856267
-0.7660319208505874;-0.5973751299289751;-0.4579041714952993;0.7004600536960265;-0.8764783429807526;-0.7242295618018646
-0.35566492139766187;-0.5973751338859005;-0.45855774634434665;0.921679827519856;-0.29215944766025087;-0.9053700658798778
0.008012363321588886;-0.5973751347218706;-0.4585631605738654;0.7251455220197156;-0.29215944766025087;-0.7201663214539105
0.3771332919111336;-0.5973751317681095;-0.45856374066988526;0.7393871383603055;-0.29215944766025087;-0.7203658179713109
0.15834068250893607;-0.5973751311550647;-0.4585631605738654;0.7355893740028149;-0.29215944766025087;-0.7243363589786294
0.050514659693499026;-0.59737513137799;-0.4585641274005652;0.6463419116017849;-0.29215944766025087;-0.6493598501402874
-0.6251252929772104;-0.5973742828125604;-0.4569083399945318;0.20162370533963161;0.29215944766025087;-0.2801801991026392
-0.2907599367903114;-0.5973309962784006;-0.4559898546297463;-0.18441904159929146;0.29215944766025087;0.07101399658209645
1.308833877403745;0.11041292144560061;-0.3889694278013964;-0.9629607348848717;0.8764783429807526;0.8179925652998099
0.6932833782243567;0.7123114265664879;-0.29808771802261835;-1.070247577983982;0.8764783429807526;0.9027339962533008
0.39231268347253007;0.6900188893397884;-0.3773675074041056;-0.9971406141022873;0.8764783429807526;0.8188329276544702
-0.6786195625487524;0.9742487389802074;2.507643364722209;-1.4974960682016785;1.4607972383012542;1.5681816936370927
-0.7032206454241192;0.517251725832867;2.101576150817031;-1.4319846330349648;1.4607972383012542;1.4611753364539948
-0.762053873406911;-0.597375132492617;-0.4583682483111909;1.4846983935178426;-1.4607972383012542;-1.414664954974342
-0.8130356919613944;-0.5973751330666498;-0.4584154294541399;1.3014562632689195;-1.4607972383012542;-1.2550323585975232
-0.774930184869337;-0.5973751344432139;-0.4576295927125634;0.6159597967418597;-0.8764783429807526;-0.650092728163134
-0.7282404701356623;-0.5973751282570349;-0.45808593491485683;0.9444664136647997;-0.8764783429807526;-0.9378326880606144
0.8157653653059697;-0.5973751282570349;-0.45856288986238947;0.7973030448120375;-0.29215944766025087;-0.7566960193777377
0.14682528201408357;-0.5973751317681095;-0.45856358597761326;0.6643812922998655;-0.29215944766025087;-0.6620234760156621
0.26030431961790274;-0.5973751305977513;-0.4585616909972817;0.6501396759592756;-0.29215944766025087;-0.6456899282055192
-0.16252024946127222;-0.5971633563984559;-0.45377195418046423;-0.40468937433374824;0.29215944766025087;0.2695116420346906
0.6168629931221538;-0.5902526698581789;-0.44759779887570594;-0.7312971090779428;0.29215944766025087;0.5838792170710435
1.5255327776250602;-0.5165646880553236;-0.44713372205981433;-0.7939602209765383;0.29215944766025087;0.6694867242502799
0.26438705252062317;-0.5918131474640479;-0.44657296257394524;-0.5471055377396471;0.29215944766025087;0.4100393469721689
0.11196502415239373;0.801481575473286;-0.3889694278013964;-1.0090086277194454;0.8764783429807526;0.8185244544132949
-0.725204591823383;1.1860278426338529;2.4032260811465918;-1.1357590131506956;1.4607972383012542;1.2356470294424995
-0.732532573956471;0.17171739881902431;2.2872068771736838;-1.192725478513055;1.4607972383012542;1.2717027039296664
1.622890254536086;1.1637353054071533;2.788023107656737;-1.2800740587353396;1.4607972383012542;1.487175674574741
-0.7220640280520596;0.7401770980998623;1.842466595277536;-1.165191686921248;1.4607972383012542;1.1946884275958853
-0.720598431625442;0.2107293389657485;2.54438277931363;-1.14810174731254;1.4607972383012542;1.263528819164226
0.05260836887438129;0.35005769663262054;2.9813884476115837;-1.3560293458851524;1.4607972383012542;1.5246531540687662
-0.7374527905315443;-0.5973751320411931;-0.4584314787773561;1.2055627132422808;-1.4607972383012542;-1.1680742668034343
-0.7882252381679394;-0.5973751329328946;-0.45835084543059496;1.2406920335490692;-1.4607972383012542;-1.2006929870368395
-0.808115475386321;-0.5973751307705184;-0.4583643810043918;1.430580251423601;-1.4607972383012542;-1.368553977896925
-0.7855034162327925;-0.5973750953755425;-0.4580395272332677;0.8609155978000058;-0.8764783429807526;-0.8661759691186244
-0.7329513157926475;-0.5973751285356915;-0.4579312426428929;1.0023823201165318;-0.8764783429807526;-0.9889659983861644
0.6587371767397993;-0.5973751276997215;-0.4585575529790067;0.8058480146163914;-0.29215944766025087;-0.7694687710197327
0.2975723430376072;-0.597375129427393;-0.4585585198057065;0.8086963378845096;-0.29215944766025087;-0.7840509752742251
0.9277788064831713;-0.5973751285356915;-0.4585616523242137;0.6871678784448092;-0.29215944766025087;-0.6559783647849018
0.2712962928175347;-0.5929835056684496;-0.44699449901504684;-0.4274759604786921;0.29215944766025087;0.30488749719882857
0.9319662248449359;-0.5365165088732198;-0.446921020185864;-0.7085105229329991;0.29215944766025087;0.5744310011216015
1.379810618635654;0.7640858442754975;-0.39090308120094486;-1.011382230442877;0.8764783429807526;0.8627690185618738
0.23570323674253604;1.2558034841534225;-0.31162329181945764;-1.0825903121458265;0.8764783429807526;0.8966874540097436
1.4286987280092551;1.5370962920142237;2.43029722874027;-1.2553885904116504;1.4607972383012542;1.416220534626636
1.8049382678137993;4.136556607273669;1.9623531060495412;-1.136708454240068;1.4607972383012542;1.2684095651155436
1.1940986142913963;3.5740601617009733;1.7264473913046279;-1.1443039829550494;1.4607972383012542;1.226498982791207
